Name,Year,Rating,Tags,Watched Date
Home Alone,1990,3.5,with lovers,22-12-2022
View from the Top,2003,2,,22-12-2022
"history of the entire world, i guess",2017,,,21-12-2022
Geri's Game,1997,3,,21-12-2022
Peter's To-Do List,2019,4,,21-12-2022
My Best Friend's Wedding/My Best Friend's Sweating,2011,2,,21-12-2022
Happy Holidays,2010,,,21-12-2022
Gone Fishing,2017,3,,21-12-2022
Her,2013,4.5,with ishika,21-12-2022
Dear Diary: World's First Pranks,2021,1.5,,21-12-2022
Come Together,2016,4,,21-12-2022
Vincent,1982,4,,21-12-2022
Puparia,2020,4,,21-12-2022
Two Snails Set Off,2016,3,,21-12-2022
Lifted,2006,4,,21-12-2022
Go Goa Gone,2013,4,with ishika,20-12-2022
Avatar: The Way of Water,2022,4,"with ishika, with parnika, @theatre",17-12-2022
Elf,2003,3.5,with lovers,17-12-2022
Barbie in A Christmas Carol,2008,3,with lovers,12-12-2022
The Holiday,2006,3.5,with lovers,11-12-2022
Crush,2022,3,,10-12-2022
Midsommar,2019,4,"with ishika, with yasha, with parnika",08-12-2022
Dune,2021,4,with rachel,06-12-2022
Knives Out,2019,,"with ishika, with parnika, with yasha",06-12-2022
Black Panther: Wakanda Forever,2022,4,"with rachel, @theatre",04-12-2022
Brahmāstra Part One: Shiva,2022,,with ishika,25-11-2022
Mr. & Mrs. Smith,2005,3.5,,25-11-2022
Aquaman,2018,3,,24-11-2022
Deadpool 2,2018,3.5,,23-11-2022
Thor: Love and Thunder,2022,2.5,,23-11-2022
Deadpool,2016,3.5,,22-11-2022
Black Panther: Wakanda Forever,2022,4,"with ishika, @theatre, with nidhi",13-11-2022
The Exorcist,1973,4.5,with lovers,31-10-2022
Zindagi Na Milegi Dobara,2011,5,,30-10-2022
Uncharted,2022,2.5,with mom,28-10-2022
The Sea Beast,2022,3.5,"with bhai, with mom",24-10-2022
Werewolf by Night,2022,4,,22-10-2022
Get Out,2017,4.5,with lovers,20-10-2022
The Nightmare Before Christmas,1993,4.5,,19-10-2022
Badla,2019,3,with lovers,19-10-2022
The Conjuring,2013,4.5,with lovers,18-10-2022
Insidious,2010,3.5,with lovers,17-10-2022
Coraline,2009,4.5,with technical club,16-10-2022
Laggies,2014,3,,12-10-2022
Avatar,2009,4,"with ishika, @theatre",25-09-2022
X-Men,2000,3.5,"with ishika, with rachel",17-09-2022
X-Men: First Class,2011,4.5,"with ishika, with rachel",13-09-2022
Brahmāstra Part One: Shiva,2022,,"with lovers, @theatre",11-09-2022
Enchanted,2007,4,with rachel,10-09-2022
The Matrix,1999,4.5,,07-09-2022
21 Jump Street,2012,4,,05-09-2022
22 Jump Street,2014,3.5,,05-09-2022
Andhadhun,2018,4.5,with lovers,04-09-2022
Don't Bother to Knock,1961,,,01-09-2022
Barbie: Princess Charm School,2011,4,with ishika,08-08-2022
Student of the Year,2012,2,with technical club,08-08-2022
Mere Brother Ki Dulhan,2011,2.5,with ishika,06-08-2022
Badhaai Do,2022,4,with technical club,31-07-2022
RRR,2022,,with ishika,30-07-2022
Gully Boy,2019,4.5,with ishika,26-07-2022
Minions: The Rise of Gru,2022,3.5,"with mom, with bhai, @theatre",16-07-2022
Hercules,1997,4,,06-07-2022
Spencer,2021,4.5,,06-07-2022
Pirates of the Caribbean: Dead Man's Chest,2006,4,with mom,30-06-2022
Turning Red,2022,3.5,,30-06-2022
Bhool Bhulaiyaa 2,2022,,with mom,28-06-2022
JugJugg Jeeyo,2022,,"@theatre, with mom, with bhai",26-06-2022
Doctor Strange in the Multiverse of Madness,2022,3.5,"with mom, with bhai",24-06-2022
Jab We Met,2007,4,"with ishika, with parnika, with yasha",15-05-2022
Finding Nemo,2003,5,with ishika,19-04-2022
Pretty Woman,1990,3.5,with ishika,14-04-2022
Jaws,1975,4.5,with ishika,13-04-2022
Spirited Away,2001,4.5,,12-04-2022
La La Land,2016,5,,09-04-2022
Moonrise Kingdom,2012,4.5,with ishika,08-04-2022
When Harry Met Sally...,1989,4,with ishika,07-04-2022
Harry Potter and the Philosopher's Stone,2001,4.5,"with mom, with bhai",06-04-2022
The Batman,2022,,"with ishika, @theatre",20-03-2022
Bachchhan Paandey,2022,1.5,"@theatre, with mom, with bhai, with dad",18-03-2022
English Vinglish,2012,4,with mom,12-03-2022
Dhanak,2015,,with mom,11-03-2022
Jhund,2022,,"@theatre, with mom, with dad, with bhai",04-03-2022
The Cook's Revenge,1900,,,26-02-2022
Cousin Ben Troop Screening,2012,,,26-02-2022
kittykat96,2017,,,26-02-2022
Help!,1992,,,26-02-2022
floatland,2018,,,26-02-2022
Cat City,2017,,,26-02-2022
Inception,2010,5,with mom,16-02-2022
Ella Enchanted,2004,2.5,,09-02-2022
Enchanted,2007,4,"with mom, with bhai",06-02-2022
Sense and Sensibility,1995,4,with mom,05-02-2022
Little Women,2019,4.5,with mom,05-02-2022
Pride & Prejudice,2005,4.5,with mom,31-01-2022
The Breakfast Club,1985,4.5,,22-01-2022
Hotel Transylvania: Transformania,2022,,,16-01-2022
